,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
word,i,can't,stop,yawning,#trazodone,,,,,,,,,,,,,,,,,,,,,,,,,
pos,O,V,V,V,#,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
word,i,took,my,trazodone,like,an,hour,ago,and,i,can,barely,keep,my,eyes,open,and,i,need,to,finish,homeworrrkkk,,,,,,,,
pos,O,V,D,N,P,D,N,R,&,O,V,R,V,D,N,V,&,O,V,P,V,N,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
word,i'm,so,allergic,to,trazodone,but,i,haven't,been,taking,it,so,no,one,believes,me,:,:,:,---)))),,,,,,,,,,
pos,L,R,A,P,V,&,O,V,V,V,O,P,D,N,V,O,",",",",",",E,,,,,,,,,,
true,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,
pred,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,trazodone,hangovers,are,the,worst,",",though,.,sigh,,,,,,,,,,,,,,,,,,,,,
pos,^,N,V,D,A,",",P,",",V,,,,,,,,,,,,,,,,,,,,,
true,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,
pred,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
word,i'm,always,irritated,on,vyvanse,because,people,can't,think,as,fast,as,i,can,.,it's,like,every,conversation,is,with,someone,at,a,nursing,home,,,,
pos,L,R,V,P,^,P,N,V,V,R,A,P,O,V,",",L,P,D,N,V,P,N,P,D,N,N,,,,
true,O,O,B-ADR,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
pred,O,O,B-ADR,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,B-ADR,O,I-ADR,O,O,O,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,#lamotrigine,headaches,suck,:,(,i,wanna,curl,up,&,cry,.,,,,,,,,,,,,,,,,,,
pos,#,N,V,",",",",O,V,V,T,&,V,",",,,,,,,,,,,,,,,,,,
true,O,B-ADR,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
pred,O,B-ADR,O,O,O,O,O,B-ADR,I-ADR,O,B-ADR,O,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
word,@pk_money,i,took,a,vyvanse,and,drank,a,12oz,redbull,this,morning,.,my,heart,was,hurting,a,lil,bit,haha,,,,,,,,,
pos,@,O,V,D,N,&,V,D,$,N,D,N,",",D,N,V,V,D,A,N,!,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,
word,@rayydepotter,yeaa,bihh,all,jacked,up,on,vyvanse,!,?,?,,,,,,,,,,,,,,,,,,,
pos,@,!,N,D,V,T,P,^,",",",",",",,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
pred,O,O,B-ADR,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
word,vyvanse,at,7pm,probably,wasn't,a,great,idea.,.,i,can't,sleeeep,-__-,,,,,,,,,,,,,,,,,
pos,N,P,$,R,V,D,A,N,",",O,V,V,E,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,
word,to,take,my,seroquel,and,have,weird,dreams,or,to,not..,.,real,life,lyndsey,world,questions,,,,,,,,,,,,,
pos,P,V,D,^,&,V,A,N,&,P,R,",",A,N,^,N,N,,,,,,,,,,,,,
true,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
pred,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,
word,@darko_marco,i've,no,probs,with,porn,other,than,the,fact,that,i've,gained,80,pounds,on,effexor,and,no,one,needs,to,see,that,;-),,,,,
pos,@,L,D,N,P,A,A,P,D,N,P,L,V,$,N,P,^,&,D,N,V,P,V,D,E,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
word,adderall,puts,me,in,a,good,mood,",",vyvanse,makes,me,an,asshole,.,,,,,,,,,,,,,,,,
pos,^,V,O,P,D,A,N,",",^,V,O,D,N,",",,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
word,feeling,a,little,dizzy,from,the,quetiapine,i,just,popped,!,,,,,,,,,,,,,,,,,,,
pos,V,D,A,A,P,D,N,O,R,V,",",,,,,,,,,,,,,,,,,,,
true,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
pred,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
word,me,:,why,have,i,been,sectioned,",",what,psychotic,symptoms,do,i,have,?,psychiatrist,:,dancing,.,i,am,now,addicted,to,the,antipsychotic,olanzapine,,,
pos,O,",",R,V,O,V,V,",",O,A,N,V,O,V,",",N,",",V,",",O,V,R,V,P,D,N,N,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,,,
pred,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
word,in,need,of,a,dream,interpreter.,.,#quetiapine,is,really,having,an,affect,on,my,night,visions.,.,some,fucked,up,scenarios,in,my,sleep,lol,:,-/,,
pos,P,N,P,D,N,N,",",#,V,R,V,D,N,P,D,N,N,",",D,V,T,N,P,D,N,!,~,~,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
word,effexor,withdrawal,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,G,N,",",,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-ADR,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,B-ADR,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,@silkwould,smh,.,lmao,paxil,was,my,first,",",i,just,stopped,effexor,(the,headaches,were,a,nightmare),,,,,,,,,,,,
pos,@,G,",",!,^,V,D,A,",",O,R,V,G,D,N,V,D,N,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
word,@bullfrogr,@soozmc123,amil,isnt,so,bad,",",paxil,makes,everything,slow,and,haldol,is,ok,",",and,haldol,..,i,dunno,how,to,explain,what,it,does,,,
pos,@,@,^,V,R,A,",",^,V,N,A,&,^,V,A,",",&,^,",",O,V,R,P,V,O,O,V,,,
true,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,
pred,O,O,O,O,O,O,O,O,B-ADR,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
word,@fell2earth,yeah,",",i'm,ok,.,that,was,weird,.,might've,been,meds,.,got,a,new,batch,yesterday,.,i'm,remembering,the,effexor,xr,making,me,sick,once,.
pos,@,!,",",L,A,",",O,V,A,",",V,V,N,",",V,D,A,N,N,",",L,V,D,G,G,V,O,A,R,","
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
word,@milynda,lamictal,makes,you,sleepy,at,night,",",but,i,take,it,around,10,or,so,.,once,you,get,in,the,system,",",you,start,falling,asleep,normally,.
pos,@,^,V,O,A,P,N,",",&,O,V,O,P,$,&,R,",",R,O,V,P,D,N,",",O,V,V,R,R,","
true,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
pred,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
word,@caseygrin,i,used,to,take,trazodone,.,made,me,sleep,for,dayyssss,,,,,,,,,,,,,,,,,,
pos,@,O,V,P,V,N,",",V,O,V,P,N,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
word,why,does,tapering,down,lamotrigine,feel,as,yucky,as,stepping,it,up,?,#soreashell,,,,,,,,,,,,,,,,
pos,R,V,V,T,^,V,P,A,P,V,O,T,",",#,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-ADR,O,B-ADR,O,O,I-ADR,O,O,O,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
word,a,big,ol',fuck,you,to,my,doctor,for,not,telling,me,a,side,effect,of,metoprolol,was,depression,.,just,wait,until,i,see,you,friday,-.-,,
pos,D,A,A,V,O,P,D,N,P,R,V,O,D,N,N,P,^,V,N,",",R,V,P,O,V,O,^,E,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
word,promise,",",brownies,honor,i'm,not,stupid,",",i,have,been,forgetting,everything,lately,#paxil,,,,,,,,,,,,,,,
pos,V,",",N,N,L,R,A,",",O,V,V,V,N,R,^,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,
word,panic,attacking,because,you,cant,find,your,effexor,and,know,withdrawal,will,set,in,momentarily,&lt;&lt;&lt;&lt;&lt;&lt;&lt;,.,,,,,,,,,,,,,
pos,N,V,P,O,V,V,D,N,&,V,N,V,V,P,R,G,",",,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,,,,
pred,O,O,O,O,B-ADR,O,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,
word,also,my,kidneys,have,been,swollen,ever,since,i've,been,on,viibryd.,.,but,its,also,been,super,hot,out.,.,,,,,,,,,
pos,R,D,N,V,V,A,R,P,L,V,P,N,",",&,L,R,V,R,A,N,",",,,,,,,,,
true,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,
pred,O,O,B-ADR,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,
word,does,trazodone,actually,make,people,feel,like,high,omfg,it,makes,me,sleepy,,,,,,,,,,,,,,,,,
pos,V,N,R,V,N,V,P,A,!,O,V,O,A,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,B-ADR,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,
word,have,run,out,of,olanzapine,",",was,tapering,off,anyway,but,this,is,a,bit,too,quick-feel,restless,.,hot,bath,and,diazepam,time,:,(,,,,
pos,V,V,T,P,^,",",V,V,T,R,&,O,V,D,N,R,A,A,",",A,N,&,N,N,",",",",,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,B-ADR,I-ADR,O,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,@electrosocket,i,was,on,enbrel,for,8,years,have,since,developed,neuro,problems,(ataxia),wish,id,never,taken,it,side,effects,not,worth,risks,,,,,,
pos,@,O,V,P,^,P,$,N,V,P,V,A,N,N,V,L,R,V,O,N,N,R,A,N,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,
word,@anwen,@ellwynnnnn,venlafaxine,withdrawal,is,worse,than,most,by,miles,x,,,,,,,,,,,,,,,,,,,
pos,@,@,^,N,V,A,P,R,P,^,E,,,,,,,,,,,,,,,,,,,
true,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
pred,O,O,O,B-ADR,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
word,i,can't,secretly,try,and,come,off,my,olanzapine,as,my,cpn,and,psychiatrist,will,notice,the,weight,loss,!,,,,,,,,,,
pos,O,V,R,V,&,V,T,D,N,P,D,N,&,N,V,V,D,N,N,",",,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,
word,anyone,taking,lamotrigine,suffer,with,headaches,weeks,after,starting,the,med,?,,,,,,,,,,,,,,,,,,
pos,N,V,N,V,P,N,N,P,V,D,N,",",,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-ADR,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
word,@almostwell,what,problems,did,you,have,with,humira,",",if,you,don't,mind,me,asking,.,i,tried,infliximab,it,destroyed,my,liver,.,,,,,,
pos,@,O,N,V,O,V,P,^,",",P,O,V,V,O,V,",",O,V,V,O,V,D,N,",",,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,
word,does,anyone,know,if,the,#weight,gain,is,less,in,#olanzapine,combined,with,#prozac(#symbyax),than,in,olanzapine,alone,?,,,,,,,,,,,
pos,V,N,V,P,D,N,V,V,A,P,^,V,P,N,P,P,^,R,",",,,,,,,,,,,
true,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,
pred,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,thanks,to,all,my,re-tweeters,",",your,support,is,very,much,appreciated,.,i,took,the,full,dosd,of,olanzapine,last,night,#sluggish,,,,,,,
pos,N,P,X,D,N,",",D,N,V,R,A,N,",",O,V,D,A,N,P,^,A,N,A,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
word,@cheer_bear13,am,on,300mg,quetiapine,.,mainly,tiredness,it,causes,with,me,.,,,,,,,,,,,,,,,,,
pos,@,V,P,^,^,",",R,N,O,V,P,O,",",,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,
word,@kirkby007,#hcsm,i,start,#chemo,on,tues,b/c,of,#humira,so,i,know,.,it,helped,but,it,then,destroyed,my,lungs,.,,,,,,,
pos,@,#,O,V,N,P,^,P,P,^,P,O,V,",",O,V,&,O,R,V,D,N,",",,,,,,,
true,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,,,,,,,
pred,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
word,5hrs,sleep,last,night,but,stayed,awake,today,.,lethargic,&,low,still,.,in,bed,&,can,feel,myself,going,hot,&,cold,:,(,#venlafaxine,#day7,,
pos,R,V,A,N,&,V,A,N,",",A,&,A,R,",",P,N,&,V,V,O,V,A,&,A,",",",",#,#,,
true,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,,
pred,O,B-ADR,O,O,O,O,I-ADR,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
word,@epilepsyadvice,on,lamictal,",",chemist,giving,me,there,own,brand,med,lamotrigine,when,lamictal,not,available..side,effect,problems..raging,!,,,,,,,,,,,
pos,@,P,^,",",N,V,O,R,A,N,N,N,R,A,R,A,N,N,",",,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,trying,to,distract,with,masterchef,",",twitter,",",texting,&,candy,crush,but,i�m,anxious,&,have,stomach,&,head,pain,#venlafaxine,#withdrawal,,,,,,,
pos,V,P,V,P,^,",",^,",",V,&,N,N,&,L,A,&,V,N,&,N,N,#,#,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,B-ADR,O,B-ADR,I-ADR,O,B-ADR,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,O,B-ADR,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
word,off,to,see,the,gi,consultant,this,week,.,hope,theres,something,other,than,humira,to,try,as,not,working,also,hair,falling,out,.,,,,,
pos,R,P,V,D,^,N,D,N,",",V,L,N,A,P,^,P,V,P,R,V,R,N,V,T,",",,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,I-ADR,I-ADR,O,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
word,i�m,going,to,try,for,sleep,.,real,sleep,.,not,that,light,bastard,that,#venlafaxine,brings,me,.,,,,,,,,,,,
pos,L,V,P,V,P,N,",",A,N,",",R,D,N,N,P,^,V,O,",",,,,,,,,,,,
true,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,,,,,,,,,,,
pred,O,O,O,O,O,B-ADR,O,O,O,O,O,O,I-ADR,O,O,O,O,O,O,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,
word,@sugarrbutt,he,has,me,on,ciprofloxacin,and,phenazopyride,i,had,severe,pain,that,started,over,the,weekend,when,trying,to,use,,,,,,,,,
pos,@,O,V,O,P,^,&,N,O,V,A,N,P,V,P,D,N,R,V,P,V,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,
word,@sectioned_,anybody,know,anything,about,side,effects,of,venlafaxine,?,come,off,'em,6wks,ago,",",still,feeling,awful,.,physical,withdrawal,awful,,,,,,,
pos,@,N,V,N,P,N,N,P,^,",",V,T,O,R,R,",",R,V,A,",",A,N,A,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,I-ADR,O,O,B-ADR,O,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
word,fuck,seroquel,.,i,need,to,be,awake,,,,,,,,,,,,,,,,,,,,,,
pos,V,^,",",O,V,P,V,A,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-ADR,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,
word,@karims3d,olanzapine,actually,makes,you,put,on,weight,",",even,when,you,aren't,eating,that,much,,,,,,,,,,,,,,
pos,@,!,R,V,O,V,P,N,",",R,R,O,V,V,D,A,,,,,,,,,,,,,,
true,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-ADR,I-ADR,I-ADR,O,O,O,O,B-ADR,I-ADR,I-ADR,I-ADR,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,
word,@_unbeautiful_,i,used,to,dream,every,night,without,fail,on,fluoxetine...i,have,no,crazy,stories,each,morning,now,i'm,off,it,though,!,!,:,-l,,,,
pos,@,O,V,P,V,D,N,P,V,P,O,V,D,A,N,D,N,R,L,P,O,P,",",",",",",G,,,,
true,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
pred,O,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,what,!,nightmare,made,me,jump,awake,!,not,nice,at,all,.,thought,#quetiapine,was,supposed,to,keep,me,asleep,through,the,night,#psychosis,#fail,,,,
pos,O,",",N,V,O,V,A,",",R,A,P,D,",",V,^,V,A,P,V,O,R,P,D,N,N,#,,,,
true,O,O,B-ADR,O,O,O,B-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
pred,O,O,O,O,O,B-ADR,I-ADR,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
word,21y.o,.,w/,sickle-cell,anemia,and,taking,trazodone,presents,w/,priapism,.,what's,the,cause,?,,,,,,,,,,,,,,
pos,$,",",P,N,N,&,V,N,V,P,N,",",L,D,N,",",,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,,,,,,,,,,,,,,
pred,O,O,O,O,B-ADR,O,O,O,O,O,B-ADR,O,O,O,O,O,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,
word,this,quetiapine,isn't,working,damnit,!,!,!,!,does,make,me,hungry,at,night,though..,.,*sigh*,,,,,,,,,,,,
pos,D,N,V,V,!,",",",",",",",",V,V,O,A,P,N,R,",",V,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,B-ADR,O,O,O,O,O,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
word,no,med,orders,til,effexor,is,fully,exited,.,still,having,brain,shivers,",",but,mostly,when,i,don't,eat,.,#effexor,#withdrawal,#depression,,,,,,
pos,D,N,N,P,N,V,R,A,",",R,V,N,N,",",&,R,R,O,V,V,",",G,N,#,,,,,,
